agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
46793,-0.837500000000011,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.958125,5,8.0,3,3,5,"[False, False, False, False, False]",200
47216,-4.4,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.7800000000000002,5,9.0,3,3,5,"[False, False, False, False, False]",200
47527,13.540000000000013,12.0,5.0,True,0.6,1.0,1.0,0,0,56,1.6769999999999985,5,5.0,3,3,5,"[False, False, False, False, False]",200
47935,-8.174999999999986,12.0,12.0,True,0.6,1.0,1.0,0,0,54,0.59125,5,12.0,3,3,5,"[False, False, False, False, False]",200
48371,-8.679166666666655,12.0,12.0,True,0.6,1.0,1.0,0,0,73,0.5660416666666667,5,12.0,4,4,5,"[False, False, False, False, False]",200
48773,-7.999999999999988,12.0,12.0,True,0.6,1.0,1.0,0,0,66,0.6,5,12.0,3,3,5,"[False, False, False, False, False]",200
49226,-5.077777777777776,12.0,9.0,True,0.6,1.0,1.0,0,0,59,0.7461111111111112,5,9.0,3,3,5,"[False, False, False, False, False]",200
49638,-4.044444444444446,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.7977777777777781,5,9.0,3,3,5,"[False, False, False, False, False]",200
49977,-0.07500000000001243,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.99625,5,8.0,3,3,5,"[False, False, False, False, False]",200
50444,-8.390909090909048,12.0,11.0,True,0.6,1.0,1.0,0,0,65,0.5804545454545464,5,11.0,4,4,5,"[False, False, False, False, False]",200
50887,-4.844444444444443,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.7577777777777779,5,9.0,4,4,5,"[False, False, False, False, False]",200
51220,0.062499999999983846,12.0,8.0,True,0.6,1.0,1.0,0,0,51,1.003125,5,8.0,3,3,5,"[False, False, False, False, False]",200
51656,-7.713636363636327,12.0,11.0,True,0.6,1.0,1.0,0,0,59,0.6143181818181828,5,11.0,4,4,5,"[False, False, False, False, False]",200
52129,-9.466666666666665,12.0,12.0,True,0.6,1.0,1.0,0,0,69,0.5266666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
52490,-0.7000000000000095,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.965,5,8.0,3,3,5,"[False, False, False, False, False]",200
52872,-1.4125000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.929375,5,8.0,3,3,5,"[False, False, False, False, False]",200
53260,-3.388888888888893,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.830555555555556,5,9.0,3,3,5,"[False, False, False, False, False]",200
53639,-1.3125000000000164,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.934375,5,8.0,3,3,5,"[False, False, False, False, False]",200
54090,-110.92083333333329,10.5,12.0,False,0.6,1.0,1.0,0,0,48,0.4539583333333334,5,12.0,5,5,5,"[False, False, False, False, False]",200
54476,-1.5625000000000202,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.921875,5,8.0,3,3,5,"[False, False, False, False, False]",200
54853,-1.3250000000000228,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.93375,5,8.0,3,3,5,"[False, False, False, False, False]",200
55267,-2.362500000000016,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.881875,5,8.0,3,3,5,"[False, False, False, False, False]",200
55743,-5.5111111111111075,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.7244444444444454,5,9.0,3,3,5,"[False, False, False, False, False]",200
56105,-0.8000000000000158,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.96,5,8.0,3,3,5,"[False, False, False, False, False]",200
56441,-0.07500000000002043,12.0,8.0,True,0.6,1.0,1.0,0,0,44,0.99625,5,8.0,3,3,5,"[False, False, False, False, False]",200
56767,12.84000000000001,12.0,5.0,True,0.6,1.0,1.0,0,0,50,1.6419999999999988,5,5.0,3,3,5,"[False, False, False, False, False]",200
57209,-4.944444444444438,12.0,9.0,True,0.6,1.0,1.0,0,0,68,0.7527777777777778,5,9.0,4,4,5,"[False, False, False, False, False]",200
57591,-1.4125000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.929375,5,8.0,3,3,5,"[False, False, False, False, False]",200
57964,-1.17500000000002,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.94125,5,8.0,3,3,5,"[False, False, False, False, False]",200
58324,11.480000000000006,12.0,5.0,True,0.6,1.0,1.0,0,0,52,1.5739999999999987,5,5.0,3,3,5,"[False, False, False, False, False]",200
58759,-7.704545454545442,12.0,11.0,True,0.6,1.0,1.0,0,0,56,0.6147727272727284,5,11.0,5,5,5,"[False, False, False, False, False]",200
59114,-0.6375000000000197,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.968125,5,8.0,3,3,5,"[False, False, False, False, False]",200
59546,-8.641666666666659,12.0,12.0,True,0.6,1.0,1.0,0,0,62,0.5679166666666666,5,12.0,4,4,5,"[False, False, False, False, False]",200
59974,-4.433333333333334,12.0,9.0,True,0.6,1.0,1.0,0,0,70,0.7783333333333334,5,9.0,3,3,5,"[False, False, False, False, False]",200
60346,-1.0125000000000082,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.949375,5,8.0,3,3,5,"[False, False, False, False, False]",200
60801,-8.13636363636358,12.0,11.0,True,0.6,1.0,1.0,0,0,61,0.593181818181819,5,11.0,3,3,5,"[False, False, False, False, False]",200
61191,-3.577777777777781,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.8211111111111116,5,9.0,3,3,5,"[False, False, False, False, False]",200
61599,-3.9777777777777796,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.8011111111111114,5,9.0,3,3,5,"[False, False, False, False, False]",200
61934,0.07499999999999024,12.0,8.0,True,0.6,1.0,1.0,0,0,46,1.00375,5,8.0,3,3,5,"[False, False, False, False, False]",200
62381,-7.99999999999996,12.0,11.0,True,0.6,1.0,1.0,0,0,51,0.600000000000001,5,11.0,3,3,5,"[False, False, False, False, False]",200
62762,-3.3222222222222264,12.0,9.0,True,0.6,1.0,1.0,0,0,44,0.8338888888888896,5,9.0,3,3,5,"[False, False, False, False, False]",200
63154,-1.6750000000000143,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.91625,5,8.0,3,3,5,"[False, False, False, False, False]",200
63515,-0.862500000000024,12.0,8.0,True,0.6,1.0,1.0,0,0,43,0.956875,5,8.0,3,3,5,"[False, False, False, False, False]",200
63849,0.03749999999998421,12.0,8.0,True,0.6,1.0,1.0,0,0,43,1.001875,5,8.0,3,3,5,"[False, False, False, False, False]",200
64281,-4.6,12.0,9.0,True,0.6,1.0,1.0,0,0,69,0.77,5,9.0,4,4,5,"[False, False, False, False, False]",200
64696,-4.233333333333334,12.0,9.0,True,0.6,1.0,1.0,0,0,64,0.7883333333333336,5,9.0,3,3,5,"[False, False, False, False, False]",200
65047,-2.477777777777785,12.0,9.0,True,0.6,1.0,1.0,0,0,45,0.876111111111112,5,9.0,3,3,5,"[False, False, False, False, False]",200
65516,-9.383333333333335,12.0,12.0,True,0.6,1.0,1.0,0,0,69,0.5308333333333333,5,12.0,4,4,5,"[False, False, False, False, False]",200
65946,-7.60909090909089,12.0,11.0,True,0.6,1.0,1.0,0,0,52,0.6195454545454555,5,11.0,3,3,5,"[False, False, False, False, False]",200
