policy,seed,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
heuristic,10004,16.239999999999984,14.0,5.0,True,0.8,1.0,1.0,0,0,58,1.8120000000000045,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10005,14.299999999999985,14.0,5.0,True,0.8,1.0,1.0,0,0,65,1.7150000000000043,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10006,-6.649999999999993,14.0,12.0,True,0.8,1.0,1.0,0,0,56,0.6675000000000009,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10007,16.459999999999983,14.0,5.0,True,0.8,1.0,1.0,0,0,55,1.8230000000000048,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10008,-4.927272727272726,14.0,11.0,True,0.8,1.0,1.0,0,0,53,0.7536363636363628,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10009,2.700000000000006,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.135,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10010,15.999999999999984,14.0,5.0,True,0.8,1.0,1.0,0,0,56,1.8000000000000045,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10011,1.100000000000008,14.0,8.0,True,0.8,1.0,1.0,0,0,56,1.055,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10012,-7.6999999999999345,14.0,12.0,True,0.8,1.0,1.0,0,0,66,0.6150000000000009,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10013,1.3375000000000081,14.0,8.0,True,0.8,1.0,1.0,0,0,52,1.066875,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10014,-7.7083333333332735,14.0,12.0,True,0.8,1.0,1.0,0,0,58,0.6145833333333343,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10015,-1.7555555555555642,14.0,9.0,True,0.8,1.0,1.0,0,0,48,0.9122222222222206,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10016,1.8000000000000054,14.0,8.0,True,0.8,1.0,1.0,0,0,52,1.09,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10017,2.3750000000000075,14.0,8.0,True,0.8,1.0,1.0,0,0,52,1.11875,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10018,-1.9555555555555644,14.0,9.0,True,0.8,1.0,1.0,0,0,54,0.9022222222222207,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10019,-6.54999999999999,14.0,12.0,True,0.8,1.0,1.0,0,0,57,0.6725000000000009,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10020,1.8250000000000002,14.0,8.0,True,0.8,1.0,1.0,0,0,48,1.09125,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10021,-1.6666666666666754,14.0,9.0,True,0.8,1.0,1.0,0,0,52,0.916666666666665,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10022,-5.199999999999993,14.0,11.0,True,0.8,1.0,1.0,0,0,45,0.739999999999999,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10023,2.0625000000000067,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.103125,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10024,1.787500000000006,14.0,8.0,True,0.8,1.0,1.0,0,0,52,1.089375,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10025,-7.26666666666662,14.0,12.0,True,0.8,1.0,1.0,0,0,46,0.6366666666666677,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
