agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
84945,-112.05833333333334,12.0,12.0,False,0.6,1.0,1.0,0,0,103,0.3970833333333333,5,12.0,5,5,5,"[False, False, False, False, False]",200
85431,-109.73333333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,70,0.5133333333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
85903,-109.41666666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,76,0.5291666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
86351,-108.975,12.0,12.0,False,0.6,1.0,1.0,0,0,62,0.55125,5,12.0,3,3,5,"[False, False, False, False, False]",200
86687,0.17500000000000182,12.0,8.0,True,0.6,1.0,1.0,0,0,43,1.00875,5,8.0,3,3,5,"[False, False, False, False, False]",200
87312,-112.43333333333334,12.0,12.0,False,0.6,1.0,1.0,0,0,110,0.37833333333333335,5,12.0,5,5,5,"[False, False, False, False, False]",200
87751,-108.82499999999997,12.0,12.0,False,0.6,1.0,1.0,0,0,53,0.55875,5,12.0,3,3,5,"[False, False, False, False, False]",200
88216,-3.362499999999965,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.831875,5,8.0,3,3,5,"[False, False, False, False, False]",200
88655,7.469999999999989,12.0,5.0,True,0.6,1.0,1.0,0,0,62,1.3735000000000013,5,5.0,4,4,5,"[False, False, False, False, False]",200
89059,-2.1500000000000243,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.8925,5,8.0,3,3,5,"[False, False, False, False, False]",200
89461,-108.05833333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,52,0.5970833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
89873,-108.21666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5891666666666666,5,12.0,3,3,5,"[False, False, False, False, False]",200
90356,-8.699999999999948,12.0,11.0,True,0.6,1.0,1.0,0,0,77,0.565000000000001,5,11.0,3,3,5,"[False, False, False, False, False]",200
90895,-7.61111111111112,12.0,9.0,True,0.6,1.0,1.0,0,0,74,0.6194444444444437,5,9.0,5,5,5,"[False, False, False, False, False]",200
91242,-0.2625000000000078,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.986875,5,8.0,3,3,5,"[False, False, False, False, False]",200
91629,-3.444444444444448,12.0,9.0,True,0.6,1.0,1.0,0,0,46,0.8277777777777784,5,9.0,3,3,5,"[False, False, False, False, False]",200
92052,-2.7000000000000206,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.865,5,8.0,3,3,5,"[False, False, False, False, False]",200
92449,-1.6374999999999975,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.918125,5,8.0,3,3,5,"[False, False, False, False, False]",200
92861,-108.29999999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,44,0.585,5,12.0,3,3,5,"[False, False, False, False, False]",200
93282,-2.337499999999995,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.883125,5,8.0,3,3,5,"[False, False, False, False, False]",200
93902,-112.00000000000006,10.0,12.0,False,0.4,1.0,1.0,0,1,103,0.3999999999999999,5,12.0,2,2,4,"[False, False, False, False, False]",200
94313,-4.072222222222224,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.7963888888888893,5,9.0,4,4,5,"[False, False, False, False, False]",200
94749,-3.062500000000017,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.846875,5,8.0,3,3,5,"[False, False, False, False, False]",200
95151,-1.9750000000000145,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.90125,5,8.0,3,3,5,"[False, False, False, False, False]",200
95584,-2.8125000000000036,12.0,8.0,True,0.6,1.0,1.0,0,0,67,0.859375,5,8.0,3,3,5,"[False, False, False, False, False]",200
95985,-3.8000000000000025,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.8100000000000004,5,9.0,3,3,5,"[False, False, False, False, False]",200
96523,-7.538888888888886,12.0,9.0,True,0.6,1.0,1.0,0,0,75,0.6230555555555548,5,9.0,5,5,5,"[False, False, False, False, False]",200
97076,-5.906249999999945,10.0,8.0,True,0.4,1.0,1.0,0,1,61,0.7046875,5,8.0,3,3,4,"[False, False, False, False, False]",200
97452,-1.26250000000002,12.0,8.0,True,0.6,1.0,1.0,0,0,54,0.936875,5,8.0,3,3,5,"[False, False, False, False, False]",200
97936,-109.61666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,86,0.5191666666666667,5,12.0,4,4,5,"[False, False, False, False, False]",200
98324,-1.675000000000025,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.91625,5,8.0,4,4,5,"[False, False, False, False, False]",200
98755,-2.7875000000000068,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.860625,5,8.0,3,3,5,"[False, False, False, False, False]",200
99243,-8.899999999999949,12.0,11.0,True,0.6,1.0,1.0,0,0,58,0.5550000000000008,5,11.0,3,3,5,"[False, False, False, False, False]",200
99664,-4.355555555555556,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.7822222222222226,5,9.0,4,4,5,"[False, False, False, False, False]",200
