agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
35922,-7.254545454545469,12.0,11.0,True,0.6,1.0,1.0,0,0,50,0.6372727272727282,5,11.0,3,3,5,"[False, False, False, False, False]",200
36326,-2.1750000000000265,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.89125,5,8.0,3,3,5,"[False, False, False, False, False]",200
36793,-8.43636363636358,12.0,11.0,True,0.6,1.0,1.0,0,0,55,0.578181818181819,5,11.0,4,4,5,"[False, False, False, False, False]",200
37190,9.659999999999998,12.0,5.0,True,0.6,1.0,1.0,0,0,64,1.4829999999999999,5,5.0,3,3,5,"[False, False, False, False, False]",200
37554,-0.7875000000000092,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.960625,5,8.0,3,3,5,"[False, False, False, False, False]",200
37968,-2.3375000000000137,12.0,8.0,True,0.6,1.0,1.0,0,0,72,0.883125,5,8.0,3,3,5,"[False, False, False, False, False]",200
38267,14.240000000000018,12.0,5.0,True,0.6,1.0,1.0,0,0,50,1.711999999999998,5,5.0,3,3,5,"[False, False, False, False, False]",200
38643,-1.2125000000000155,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.939375,5,8.0,3,3,5,"[False, False, False, False, False]",200
39021,-3.244444444444449,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.8377777777777783,5,9.0,3,3,5,"[False, False, False, False, False]",200
39457,-7.713636363636338,12.0,11.0,True,0.6,1.0,1.0,0,0,59,0.6143181818181828,5,11.0,4,4,5,"[False, False, False, False, False]",200
39874,-4.300000000000001,12.0,9.0,True,0.6,1.0,1.0,0,0,60,0.7850000000000001,5,9.0,3,3,5,"[False, False, False, False, False]",200
40212,-0.03750000000001172,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.998125,5,8.0,3,3,5,"[False, False, False, False, False]",200
40591,-3.25555555555556,12.0,9.0,True,0.6,1.0,1.0,0,0,65,0.8372222222222228,5,9.0,3,3,5,"[False, False, False, False, False]",200
40988,-1.9125000000000223,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.904375,5,8.0,3,3,5,"[False, False, False, False, False]",200
41403,-4.177777777777779,12.0,9.0,True,0.6,1.0,1.0,0,0,54,0.7911111111111114,5,9.0,3,3,5,"[False, False, False, False, False]",200
41789,-3.444444444444448,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.8277777777777783,5,9.0,3,3,5,"[False, False, False, False, False]",200
42229,-7.799999999999973,12.0,11.0,True,0.6,1.0,1.0,0,0,60,0.610000000000001,5,11.0,4,4,5,"[False, False, False, False, False]",200
42660,-4.5777777777777775,12.0,9.0,True,0.6,1.0,1.0,0,0,74,0.7711111111111112,5,9.0,3,3,5,"[False, False, False, False, False]",200
43048,-1.6000000000000183,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.92,5,8.0,3,3,5,"[False, False, False, False, False]",200
43393,-0.20000000000000762,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.99,5,8.0,3,3,5,"[False, False, False, False, False]",200
43785,10.020000000000001,12.0,5.0,True,0.6,1.0,1.0,0,0,51,1.500999999999999,5,5.0,4,4,5,"[False, False, False, False, False]",200
44132,11.920000000000007,12.0,5.0,True,0.6,1.0,1.0,0,0,59,1.5959999999999992,5,5.0,3,3,5,"[False, False, False, False, False]",200
44459,0.32499999999999113,12.0,8.0,True,0.6,1.0,1.0,0,0,51,1.01625,5,8.0,3,3,5,"[False, False, False, False, False]",200
44819,-0.6125000000000043,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.969375,5,8.0,3,3,5,"[False, False, False, False, False]",200
45151,0.11249999999998563,12.0,8.0,True,0.6,1.0,1.0,0,0,54,1.005625,5,8.0,3,3,5,"[False, False, False, False, False]",200
